PUL_ID,PubMed,Characterization_Method,Genomic_Accession,Nucleotide_Position_Range,Substrate,Loci,Species,Degradation_or_Biosynthesis
PUL0415,22205877,microarray,AAXF02000034.1,-,xylan,BACOVA_00557-BACOVA_00560,Bacteroides ovatus/28116,degradation
PUL0416,22205877,microarray,AAXF02000045.1,-,pectin,BACOVA_01792-BACOVA_01803,Bacteroides ovatus/28116,degradation
PUL0417,22205877,microarray,AAXF02000045.1,-,pectin,BACOVA_01807-BACOVA_01819,Bacteroides ovatus/28116,degradation
PUL0418,22205877,microarray,AAXF02000047.1,-,pectin,BACOVA_02051-BACOVA_02059,Bacteroides ovatus/28116,degradation
PUL0419,22205877,microarray,AAXF02000049.1,-,pectin,BACOVA_02626-BACOVA_02636,Bacteroides ovatus/28116,degradation
PUL0420,22205877,microarray,AAXF02000051.1,-,pectin,BACOVA_03379-BACOVA_03382,Bacteroides ovatus/28116,degradation
PUL0421,22205877,microarray,AAXF02000051.1,-,starch,BACOVA_03514-BACOVA_03520,Bacteroides ovatus/28116,degradation
PUL0422,22205877,microarray,AAXF02000051.1,-,host glycan,BACOVA_03556-BACOVA_03559,Bacteroides ovatus/28116,degradation
PUL0423,10960102,"clone and expression,enzyme activity assay",AF039487,-,cellobiose,cbpA-gghA-amyB,Thermotoga neapolitana/2337,degradation
PUL0424,22205877,microarray,AAXF02000052.1,-,host glycan,BACOVA_04094-BACOVA_04111,Bacteroides ovatus/28116,degradation
PUL0425,22205877,microarray,AAXF02000053.1,-,fructan,BACOVA_04497-BACOVA_04507,Bacteroides ovatus/28116,degradation
PUL0426,22205877,microarray,AAXF02000054.1,-,mucin,BACOVA_04799-BACOVA_04811,Bacteroides ovatus/28116,degradation
PUL0427,22205877,microarray,AAXF02000054.1,-,pectin,BACOVA_05488-BACOVA_05493,Bacteroides ovatus/28116,degradation
PUL0428,-,-,-,-,-,-,-,-
PUL0429,-,-,-,-,-,-,-,-
PUL0430,-,-,-,-,-,-,-,-
PUL0431,-,-,-,-,-,-,-,-
PUL0432,-,-,-,-,-,-,-,-
PUL0433,-,-,-,-,-,-,-,-
PUL0434,10613891,"SDS-PAGE,Western Blot",AF132735.2,-,beta-mannan,engK-hbpA-engL-manA-engM,Clostridium cellulovorans/1493,degradation
PUL0435,28069559,"mass spectrometry,high-performance anion-exchange chromatography",NC_013132.1,-,beta-glucan,Cpin_6730-Cpin_6742,Chitinophaga pinensis/79329,degradation
PUL0436,28069559,"mass spectrometry,high-performance anion-exchange chromatography",NC_013132.1,-,glucomannan,Cpin_5087-Cpin_5094,Chitinophaga pinensis/79329,degradation
PUL0437,28069559,"mass spectrometry,high-performance anion-exchange chromatography",NC_013132.1,-,glucomannan,Cpin_6364-Cpin_6369,Chitinophaga pinensis/79329,degradation
PUL0438,28069559,"mass spectrometry,high-performance anion-exchange chromatography",NC_013132.1,-,glucomannan,Cpin_3123-Cpin_3129,Chitinophaga pinensis/79329,degradation
PUL0439,28069559,"mass spectrometry,high-performance anion-exchange chromatography",NC_013132.1,-,glucomannan,Cpin_7180-Cpin_7183,Chitinophaga pinensis/79329,degradation
PUL0440,28069559,"mass spectrometry,high-performance anion-exchange chromatography",NC_013132.1,-,glucomannan,Cpin_2720-Cpin_2725,Chitinophaga pinensis/79329,degradation
PUL0441,28069559,"mass spectrometry,high-performance anion-exchange chromatography",NC_013132.1,-,glucomannan,Cpin_6154-Cpin_6159,Chitinophaga pinensis/79329,degradation
PUL0442,37493618,"mass spectrometry,high-performance anion-exchange chromatography,SDS-PAGE,recombinant protein expression,enzyme activity assay,substrate binding assay",NC_013132.1,-,glucomannan/chitin,Cpin_2184-Cpin_2192,Chitinophaga pinensis DSM 2588/79329,degradation
PUL0443,28069559,"mass spectrometry,high-performance anion-exchange chromatography",NC_013132.1,-,glucomannan,Cpin_5109-Cpin_5117,Chitinophaga pinensis/79329,degradation
PUL0444,28069559,"mass spectrometry,high-performance anion-exchange chromatography",NC_013132.1,-,glucomannan,Cpin_5548-Cpin_5553,Chitinophaga pinensis/79329,degradation
PUL0445,10913091,"recombinant protein expression,thin-layer chromatography,enzyme activity assay",AB011415.1,-,alginate,BAB03312.1-BAB03319.1,Sphingomonas sp./28214,degradation
PUL0446,-,-,-,-,-,-,-,-
PUL0447,-,-,-,-,-,-,-,-
PUL0448,-,-,-,-,-,-,-,-
PUL0449,-,-,-,-,-,-,-,-
PUL0450,-,-,-,-,-,-,-,-
PUL0451,-,-,-,-,-,-,-,-
PUL0452,-,-,-,-,-,-,-,-
PUL0453,-,-,-,-,-,-,-,-
PUL0454,22944206,"SDS-PAGE,protein fingerprinting (MALDI-TOF PMF)",CP003170.1,-,alpha-glucan,ACPL_3663-ACPL_3684,Actinoplanes sp. SE50/110/134676,biosynthesis
PUL0455,12513973,"clone and expression,genes induced in presence of substrate,enzyme activity assay",AF441242.1,-,starch,scrT-scrP-scrR,Bifidobacterium animalis/28025,degradation
PUL0456,20622018,"microarray,RNA-seq","ADWO01000021.1,ADWO01000020.1",-,xylan,PBR_RS03345-PBR_RS03360+PBR_RS02950-PBR_RS02990,Prevotella bryantii/77095,degradation
PUL0457,27142164,"high-performance anion-exchange chromatography,enzyme activity assay,RNA-seq",NZ_AKZK01000039.1,-,xylan,A33G_RS0103395-A33G_RS0103425,Lactobacillus rossiae/231049,degradation
PUL0458,31915221,"RNA-seq,analysis of reaction products,enzyme activity assay",NZ_PJAI02000005.1,-,carrageenan,CWS31_RS06455-CWS31_RS06695,Colwellia echini/1982103,degradation
PUL0459,33811026,"RNA-seq,analysis of reaction products,enzyme activity assay,thin-layer chromatography,liquid chromatography,mass spectrometry",NZ_PJAI02000001.1,-,agarose,CWS31_RS01305-CWS31_RS01540,Colwellia echini A3/1982103,degradation
PUL0460,29774012,"recombinant protein expression,RT-PCR,enzyme activity assay",NZ_LSNE01000005.1,-,agar,AX660_RS08390-AX660_RS08495,Paraglaciecola hydrolytica S66/1799789,degradation
PUL0461,-,-,-,-,-,-,-,-
PUL0462,-,-,-,-,-,-,-,-
PUL0463,18996345,"microarray,qPCR",AE015928.1,-,host glycan,BT0433-BT0445,Bacteroides thetaiotaomicron/818,degradation
PUL0464,18996345,"microarray,qPCR",AE015928.1,-,host glycan,BT0446-BT0461,Bacteroides thetaiotaomicron/818,degradation
PUL0465,18996345,"microarray,qPCR",AE015928.1,-,mucin,BT1278-BT1285,Bacteroides thetaiotaomicron/818,degradation
PUL0466,14973026,"clone and expression,enzyme activity assay,Northern Blot",NC_000964.3,-,arabinan,araABDLMNPQ-abfA,Bacillus subtilis/1423,degradation
PUL0467,31160824,"microarray,qPCR,expression of recombinant proteins,RNA-seq,differential gene expression",AE015928.1,-,host glycan,BT1623-BT1636,Bacteroides thetaiotaomicron/818,degradation
PUL0468,18996345,"microarray,qPCR",AE015928.1,-,host glycan,BT3461-BT3507,Bacteroides thetaiotaomicron/818,degradation
PUL0469,-,-,-,-,-,-,-,-
PUL0470,18996345,"microarray,qPCR",AE015928.1,-,mucin,BT3748-BT3754,Bacteroides thetaiotaomicron/818,degradation
PUL0471,18996345,"microarray,qPCR",AE015928.1,-,mucin,BT3957-BT3965,Bacteroides thetaiotaomicron/818,degradation
PUL0472,18996345,"microarray,qPCR",AE015928.1,-,mucin,BT4069-BT4096,Bacteroides thetaiotaomicron/818,degradation
PUL0473,19717629,growth assay,NC_009441.1,-,alpha-glucan,Fjoh_1208-Fjoh_1215,Flavobacterium johnsoniae/986,degradation
PUL0474,19717629,growth assay,NC_009441.1,-,xylan,Fjoh_1559-Fjoh_1567,Flavobacterium johnsoniae/986,degradation
PUL0475,10347054,"clone and expression,gene deletion mutant and growth assay",LN997842.1,-,beta-glucan,cebREFG-bglC,Streptomyces reticuli/1926,degradation
PUL0476,19717629,growth assay,NC_009441.1,-,pectin,Fjoh_2019-Fjoh_2029,Flavobacterium johnsoniae/986,degradation
PUL0477,19717629,growth assay,NC_009441.1,-,beta-glucan,Fjoh_2430-Fjoh_2435,Flavobacterium johnsoniae/986,degradation
PUL0478,19717629,growth assay,NC_009441.1,-,alpha-mannan,Fjoh_2710-Fjoh_2717,Flavobacterium johnsoniae/986,degradation
PUL0479,19717629,growth assay,NC_009441.1,-,pectin,Fjoh_3109-Fjoh_3128,Flavobacterium johnsoniae/986,degradation
PUL0480,19717629,growth assay,NC_009441.1,-,xylan,Fjoh_3861-Fjoh_3869,Flavobacterium johnsoniae/986,degradation
PUL0481,-,-,-,-,-,-,-,-
PUL0482,19717629,growth assay,NC_009441.1,-,pectin,Fjoh_4080-Fjoh_4106,Flavobacterium johnsoniae/986,degradation
PUL0483,19717629,growth assay,NC_009441.1,-,pectin,Fjoh_4225-Fjoh_4236,Flavobacterium johnsoniae/986,degradation
PUL0484,19717629,growth assay,NC_009441.1,-,pectin,Fjoh_4246-Fjoh_4257,Flavobacterium johnsoniae/986,degradation
PUL0485,38661728,"growth assay,qRT-PCR,enzyme activity assay,affinity gel electrophoresis,crystallization,recombinant protein expression",NC_009441.1,-,starch,Fjoh_4428-Fjoh_4436,Flavobacterium johnsoniae/986,degradation
PUL0486,10613841,"RT-PCR,sugar utilization assay",AE007317.1,-,raffinose,spr1708-spr1715,Streptococcus pneumoniae/1313,degradation
PUL0487,-,-,-,-,-,-,-,-
PUL0488,19717629,growth assay,NC_009441.1,-,beta-mannan,Fjoh_4946-Fjoh_4959,Flavobacterium johnsoniae/986,degradation
PUL0489,-,-,-,-,-,-,-,-
PUL0490,-,-,-,-,-,-,-,-
PUL0491,-,-,-,-,-,-,-,-
PUL0492,-,-,-,-,-,-,-,-
PUL0493,-,-,-,-,-,-,-,-
PUL0494,-,-,-,-,-,-,-,-
PUL0495,-,-,-,-,-,-,-,-
PUL0496,-,-,-,-,-,-,-,-
PUL0497,11772635,"clone and expression,enzyme activity assay",AB063629.1,-,chitin,chiD-cbp1-chiA,Pseudoalteromonas piscicida/43662,degradation
PUL0498,-,-,-,-,-,-,-,-
PUL0499,-,-,-,-,-,-,-,-
PUL0500,-,-,-,-,-,-,-,-
PUL0501,-,-,-,-,-,-,-,-
PUL0502,-,-,-,-,-,-,-,-
PUL0503,-,-,-,-,-,-,-,-
PUL0504,-,-,-,-,-,-,-,-
PUL0505,-,-,-,-,-,-,-,-
PUL0506,-,-,-,-,-,-,-,-
PUL0507,-,-,-,-,-,-,-,-
PUL0508,14761997,"clone and expression,enzyme activity assay",AB110645.1,-,xylan,bxlR-bxlD-bxlC-bxlB-bxlA,Streptomyces thermoviolaceus/1952,degradation
PUL0509,-,-,-,-,-,-,-,-
PUL0510,-,-,-,-,-,-,-,-
PUL0511,-,-,-,-,-,-,-,-
PUL0512,-,-,-,-,-,-,-,-
PUL0513,-,-,-,-,-,-,-,-
PUL0514,-,-,-,-,-,-,-,-
PUL0515,-,-,-,-,-,-,-,-
PUL0516,-,-,-,-,-,-,-,-
PUL0517,-,-,-,-,-,-,-,-
PUL0518,-,-,-,-,-,-,-,-
PUL0519,8244973,gene deletion mutant and growth assay,NC_003098.1,-,starch,MalRADCXMP,Streptococcus pneumoniae/1313,degradation
PUL0520,14532050,"clone and expression,enzyme activity assay",AY297960.1,-,xylan,xynT-xynB,Klebsiella oxytoca/571,degradation
PUL0521,-,-,-,-,-,-,-,-
PUL0522,-,-,-,-,-,-,-,-
PUL0523,-,-,-,-,-,-,-,-
PUL0524,-,-,-,-,-,-,-,-
PUL0525,-,-,-,-,-,-,-,-
PUL0526,22205877,"microarray,qPCR",NZ_CP012938.1,-,beta-glucan,Bovatus_03419-Bovatus_03424,Bacteroides ovatus/28116,degradation
PUL0527,22205877,"microarray,qPCR",NZ_CP012938.1,-,xyloglucan,Bovatus_03060-Bovatus_03075,Bacteroides ovatus/28116,degradation
PUL0528,22205877,"microarray,qPCR",NZ_CP012938.1,-,beta-glucan,Bovatus_03146-Bovatus_03153,Bacteroides ovatus/28116,degradation
PUL0529,39892338,"microarray,qPCR,RNA-seq,reducing-sugar assay,growth assay",NZ_CP012938.1,-,pectin,Bovatus_04357-Bovatus_04384,Bacteroides ovatus/28116,degradation
PUL0530,-,-,-,-,-,-,-,-
PUL0531,12618440,"clone and expression,enzyme activity assay",NZ_HG326223.1,-,chitin,chbB-chbC-bglA-chbR-chbG,Serratia marcescens/615,degradation
PUL0532,23976882,RNA-seq,CP012801.1,-,arabinan,BcellWH2_00920-BcellWH2_00935,Bacteroides cellulosilyticus/246787,degradation
PUL0533,23976882,RNA-seq,CP012801.1,-,xylan,BcellWH2_00952-BcellWH2_00960,Bacteroides cellulosilyticus/246787,degradation
PUL0534,23976882,RNA-seq,CP012801.1,-,pectin,BcellWH2_01286-BcellWH2_01294,Bacteroides cellulosilyticus/246787,degradation
PUL0535,23976882,RNA-seq,CP012801.1,-,arabinogalactan,BcellWH2_01660-BcellWH2_01668,Bacteroides cellulosilyticus/246787,degradation
PUL0536,23976882,RNA-seq,CP012801.1,-,glycosaminoglycan,BcellWH2_01737-BcellWH2_01742,Bacteroides cellulosilyticus/246787,degradation
PUL0537,23976882,RNA-seq,CP012801.1,-,beta-glucan,BcellWH2_01926-BcellWH2_01932,Bacteroides cellulosilyticus/246787,degradation
PUL0538,23976882,RNA-seq,CP012801.1,-,galactomannan,BcellWH2_02020-BcellWH2_02034,Bacteroides cellulosilyticus/246787,degradation
PUL0539,23976882,RNA-seq,CP012801.1,-,pectin,BcellWH2_02076-BcellWH2_02091,Bacteroides cellulosilyticus/246787,degradation
PUL0540,23976882,RNA-seq,CP012801.1,-,starch,BcellWH2_02435-BcellWH2_02440,Bacteroides cellulosilyticus/246787,degradation
PUL0541,23976882,RNA-seq,CP012801.1,-,glycosaminoglycan,BcellWH2_02517-BcellWH2_02521,Bacteroides cellulosilyticus/246787,degradation
PUL0542,10368143,binding assay,DQ868502.2,-,xylan,xynDCEFG-xylM-axe1-xynB2A2-aguEFGA-xynB1-kdgKA-uxuR-uxaC-uxuAB-orfABC-xynAX-aze2-xynB3-xylAB,Geobacillus stearothermophilus/1422,degradation
PUL0543,23976882,RNA-seq,CP012801.1,-,beta-glucan,BcellWH2_02537-BcellWH2_02542,Bacteroides cellulosilyticus/246787,degradation
PUL0544,-,-,-,-,-,-,-,-
PUL0545,23976882,RNA-seq,CP012801.1,-,arabinoxylan,BcellWH2_02906-BcellWH2_02915,Bacteroides cellulosilyticus/246787,degradation
PUL0546,23976882,RNA-seq,CP012801.1,-,arabinogalactan,BcellWH2_02969-BcellWH2_02976,Bacteroides cellulosilyticus/246787,degradation
PUL0547,23976882,RNA-seq,CP012801.1,-,beta-mannan,BcellWH2_03032-BcellWH2_03042,Bacteroides cellulosilyticus/246787,degradation
PUL0548,23976882,RNA-seq,CP012801.1,-,pectin,BcellWH2_03074-BcellWH2_03080,Bacteroides cellulosilyticus/246787,degradation
PUL0549,23976882,RNA-seq,CP012801.1,-,pectin,BcellWH2_04051-BcellWH2_04056,Bacteroides cellulosilyticus/246787,degradation
PUL0550,23976882,RNA-seq,CP012801.1,-,glycosaminoglycan,BcellWH2_04089-BcellWH2_04095,Bacteroides cellulosilyticus/246787,degradation
PUL0551,23976882,RNA-seq,CP012801.1,-,beta-glucan,BcellWH2_04351-BcellWH2_04356,Bacteroides cellulosilyticus/246787,degradation
PUL0552,23976882,RNA-seq,CP012801.1,-,arabinan,BcellWH2_04902-BcellWH2_04908,Bacteroides cellulosilyticus/246787,degradation
PUL0553,27142817,"RT-PCR,qPCR",FP929033.1,-,xylan,BXY_29170-BXY_29370,Bacteroides xylanisolvens/371601,degradation
PUL0554,23976882,RNA-seq,CP012801.1,-,starch,BcellWH2_05309-BcellWH2_05314,Bacteroides cellulosilyticus/246787,degradation
PUL0555,25139987,"gene deletion mutant and growth assay,qRT-PCR,microarray,enzyme activity assay",NC_016776.1,-,host glycan,BF638R_0384-BF638R_0392,Bacteroides fragilis/817,degradation
PUL0556,25139987,"gene deletion mutant and growth assay,qRT-PCR,microarray,enzyme activity assay",NC_016776.1,-,host glycan,BF638R_1323-BF638R_1330,Bacteroides fragilis/817,degradation
PUL0557,-,-,-,-,-,-,-,-
PUL0558,22205877,"gene deletion mutant and growth assay,growth assay,enzyme activity assay",AE015928.1,-,pectin,BT0981-BT1030,Bacteroides thetaiotaomicron/818,degradation
PUL0559,16968696,"gene deletion mutant and growth assay,growth assay,enzyme activity assay,microarray,qPCR",AE015928.1,-,pectin,BT3662-BT3673,Bacteroides thetaiotaomicron/818,degradation
PUL0560,22205877,"microarray,qPCR",AE015928.1,-,arabinogalactan,BT0262-BT0291,Bacteroides thetaiotaomicron/818,degradation
PUL0561,12406739,"clone and expression,enzyme activity assay",NC_004567.2,-,alpha-galactan,lp_3483-lp_3487,Lactobacillus plantarum/1590,degradation
PUL0562,-,-,-,-,-,-,-,-
PUL0563,22205877,"microarray,qPCR",AE015928.1,-,arabinogalactan,BT3674-BT3687,Bacteroides thetaiotaomicron/818,degradation
PUL0564,34420703,"microarray,qPCR,UHPLC-MS,RNA-seq,RT-qPCR",AE015928.1,-,pectin,BT4145-BT4183,Bacteroides thetaiotaomicron/818,degradation
PUL0565,27872187,"microarray,qPCR",NZ_CP012938.1,-,galactomannan,Bovatus_02923-Bovatus_02932,Bacteroides ovatus/28116,degradation
PUL0566,29255254,"microarray,qPCR",NZ_CP012938.1,-,pectin,Bovatus_04876-Bovatus_04882,Bacteroides ovatus/28116,degradation
PUL0567,-,-,-,-,-,-,-,-
PUL0568,10411273,"clone and expression,enzyme activity assay,Northern Blot",NZ_CP010086.2,-,starch,scrARBK,Clostridium beijerinckii/1520,degradation
PUL0569,11739774,"clone and expression,enzyme activity assay,Northern Blot",NC_000964.3,-,fructan,sacB-yveB-yveA,Bacillus subtilis/1423,degradation
PUL0570,12777497,"clone and expression,enzyme activity assay",AF508972,-,cellobiose,bglFAG,Corynebacterium glutamicum/1718,degradation
PUL0571,19638370,Northern Blot,AE006468.2,-,chitin,nadE-osmE-chbACBDFG,Salmonella enterica/28901,degradation
PUL0572,8335634,enzyme activity assay,CP007224.1,-,alginate,PA96_1392-PA96_1403,Pseudomonas aeruginosa/287,biosynthesis
PUL0573,19648249,"enzyme activity assay,electrophoretic mobility shift assay,RT-PCR,qRT-PCR",NC_010572.1,-,beta-glucan,SGR_RS23570-SGR_RS23590,Streptomyces griseus/1911,degradation
PUL0574,16822234,enzyme activity assay,NC_002737.2,-,alpha-mannan,spy_1593-spy_1604,Streptococcus pyogenes/1314,degradation
PUL0575,20946531,"microarray,growth assay,gene deletion mutant and growth assay",NZ_ABQA01000009.1,-,raffinose,EFME980_RS04995-EFME980_RS05050,Enterococcus faecium/1352,degradation
PUL0576,20974960,growth assay,CP001840.1,-,mucin,BBPR_1050–BBPR_1058,Bifidobacterium bifidum/1681,degradation
PUL0577,21098515,"SDS-PAGE,enzyme activity assay",NC_006370.1,-,chitin,PBPRA0516-PBPRA0526,Photobacterium profundum/74109,degradation
PUL0578,21216899,"qRT-PCR,enzyme activity assay,electrophoretic mobility shift assay",CP000303.1,-,beta-glucan,Bbr_0105-Bbr_0109,Bifidobacterium breve/1685,degradation
PUL0579,21488982,"microarray,qRT-PCR,Western Blot,immunoprecipitation",NC_002505.1,-,glycosaminoglycan,VC_RS04905-VC_RS04915,Vibrio cholerae/666,degradation
PUL0580,21488982,"microarray,qRT-PCR,Western Blot,immunoprecipitation",NC_002505.1,-,glycosaminoglycan,VC_RS08595-VC_RS08605,Vibrio cholerae/666,degradation
PUL0581,22286980,"SDS-PAGE,enzyme activity assay",AB669415,-,fructan,sacA-pfk-inu,Microbulbifer sp. JAM-3301/1081041,degradation
PUL0582,22660716,"NMR,microarray,enzyme activity assay,gene deletion mutant and growth assay",AM406671.1,-,human milk oligosaccharide,llmg_0186-llmg_0190,Lactococcus lactis/1358,degradation
PUL0583,8407820,"enzyme activity assay,gene deletion mutant and growth assay",U07818.1,-,cellobiose,celABCD,Geobacillus stearothermophilus/1422,degradation
PUL0584,23530958,microarray,CP001834.1,-,melibiose,LLKF_2259-LLKF_2269,Lactococcus lactis/1358,degradation
PUL0585,21778207,"microarray,gene deletion mutant and growth assay,beta-galactosidase assays",CP000410.2,-,cellobiose,celA-celD,Streptococcus pneumoniae/1313,degradation
PUL0586,23047109,enzyme activity assay,AB728624.1,-,chitin,ybfMN-ctb,Serratia marcescens/615,degradation
PUL0587,23266804,"RT-PCR,enzyme activity assay",CP019300.1,-,fructan,fruABK,Prevotella intermedia/28131,degradation
PUL0588,23278377,"enzyme activity assay,RT-PCR",AL645882.2,-,chitin,SCO5232-SCO5235,Streptomyces coelicolor/1902,degradation
PUL0589,23930155,"Western Blot,enzyme activity assay,thin-layer chromatography",CP007016.1,-,starch,SMUFR_1357-SMUFR_1359,Streptococcus mutans/1309,degradation
PUL0590,23951303,"qRT-PCR,gene deletion mutant and growth assay,microarray",NZ_ABQJ01000017.1,-,starch,EFME1162_RS11430-EFME1162_RS11450,Enterococcus faecium/1352,degradation
PUL0591,23667565,"growth assay,Northern Blot",NC_000964.3,-,glycosaminoglycan,hprk-nagA-nagBA-nagR,Bacillus subtilis/1423,degradation
PUL0592,25063665,qRT-PCR,CP001656.1,-,xylan,PJDR2_1318-1325,Paenibacillus sp. JDR-2/324057,degradation
PUL0593,8576036,Northern Blot,M57692.1,-,starch,amyBEDCA,Thermoanaerobacterium thermosulfurigenes/33950,degradation
PUL0594,25063665,qRT-PCR,CP001656,-,xylan,PJDR2_3596-3599,Paenibacillus sp. JDR-2/324057,degradation
PUL0595,25388295,"enzyme activity assay,qPCR,crystallization",FP929042,-,starch,EUR_21100-21130,[Eubacterium] rectale/39491,degradation
PUL0596,25388295,"enzyme activity assay,qPCR,crystallization",FP929042,-,starch,EUR_01830-01860,[Eubacterium] rectale/39491,degradation
PUL0597,25862223,"enzyme activity assay,enzyme kinetic analysis",KM066603,-,arabinoxylan,xylHEFGD,Corynebacterium alkanolyticum/909925,degradation
PUL0598,26020016,"liquid chromatography and mass spectrometry,differential gene expression",CP002160.1,-,xylan,Clocel_0589-0592,Clostridium cellulovorans 743B/573061,degradation
PUL0599,26020016,"liquid chromatography and mass spectrometry,differential gene expression",CP002160.1,-,xylan,Clocel_2592-Clocel_2598,Clostridium cellulovorans/1493,degradation
PUL0600,26020016,"liquid chromatography and mass spectrometry,differential gene expression",CP002160.1,-,galactomannan,Clocel_3194-Clocel_3205,Clostridium cellulovorans/1493,degradation
PUL0601,26020016,"liquid chromatography and mass spectrometry,differential gene expression",CP002160.1,-,pectin,Clocel_2249-Clocel_2264,Clostridium cellulovorans/1493,degradation
PUL0602,26442136,sequence homology analysis,CP002835.1,-,xylan,Geoth_2242-Geoth_2272,Parageobacillus thermoglucosidasius/1426,degradation
PUL0603,31703861,"microarray,qRT-PCR,culureing methods",NC_004567.2,-,galactomannan,LP_RS12650-LP_RS12660,Lactobacillus plantarum WCFS1/1590,degradation
PUL0604,31703861,"microarray,qRT-PCR,culureing methods",NC_004567.2,-,galactomannan,LP_RS00750-LP_RS00770,Lactobacillus plantarum WCFS1/1590,degradation
PUL0605,21029047,"RT-PCR,gene deletion mutant and growth assay",CP025268.1,-,glycogen,CXP41_18685-CXP41_18705,Escherichia coli/562,biosynthesis
PUL0606,32385941,"enzyme activity assay,clone and expression",NC_020517.1,-,beta-galactooligosaccharide,BBR_RS11735-BBR_RS11745,Bifidobacterium breve UCC2003/1685,degradation
PUL0607,32520542,"enzyme activity assay,clone and expression,liquid chromatography and mass spectrometry",NZ_CP014224.1,-,agarose,AXE80_RS06895-AXE80_RS07005,Wenyingzhuangia fucanilytica strain CZ1127/1790137,degradation
PUL0608,32620774,"enzyme activity assay,clone and expression,liquid chromatography and mass spectrometry,thin-layer chromatography,MALDI-TOF/MS",NC_015977.1,-,human milk oligosaccharide,RHOM_RS04015-RHOM_RS04055,Roseburia hominis DSM 16839/301301,degradation
PUL0609,32620774,"enzyme activity assay,clone and expression,liquid chromatography and mass spectrometry,thin-layer chromatography,MALDI-TOF/MS",NZ_ACFY01000084.1,-,human milk oligosaccharide,ROSEINA2194_RS08245-ROSEINA2194_RS08295,Roseburia inulinivorans DSM 16841/360807,degradation
PUL0610,31992772,"enzyme activity assay,strcutural analysis",CP001807.1,-,xylan,Rmar_1067-Rmar_1081,Rhodothermus marinus/29549,degradation
PUL0611,32071270,liquid chromatography and mass spectrometry,RHLG01000001.1,-,alpha-glucan,ED556_00425-ED556_00490,Winogradskyella sp. isolate Bin3/1883156,degradation
PUL0612,32071270,liquid chromatography and mass spectrometry,RHLF01000001.1,-,alpha-glucan,ED555_05795-ED555_05845,Muricauda sp. isolate Bin2/192149,degradation
PUL0613,33113351,RNA-seq,JABKKG010000003.1,-,host glycan,HPS57_05940-HPS57_05965,Prevotella sp. PINT/2736291,degradation
PUL0614,33113351,RNA-seq,JABKKG010000004.1,-,pectin,HPS57_06680-HPS57_06690,Prevotella sp. PINT/2736291,degradation
PUL0615,33113351,RNA-seq,JABKKG010000004.1,-,pectin,HPS57_07910-HPS57_07935,Prevotella sp. PINT/2736291,degradation
PUL0616,33113351,RNA-seq,JABKKG010000005.1,-,pectin,HPS57_08295-HPS57_08340,Prevotella sp. PINT/2736291,degradation
PUL0617,33113351,RNA-seq,JABKKG010000005.1,-,xylan,HPS57_08475-HPS57_08540,Prevotella sp. PINT/2736291,degradation
PUL0618,33113351,RNA-seq,JABKKG010000006.1,-,pectin,HPS57_09935-HPS57_09960,Prevotella sp. PINT/2736291,degradation
PUL0619,33113351,RNA-seq,JABKKE010000013.1,-,xylan,HPS55_08870-HPS55_08890,Prevotella sp. PROD/2736291,degradation
PUL0620,33113351,RNA-seq,JABKKE010000016.1,-,xylan,HPS55_09945-HPS55_09990,Prevotella sp. PROD/2736291,degradation
PUL0621,33113351,RNA-seq,JABKKE010000002.1,-,pectin,HPS55_02230-HPS55_02270,Prevotella sp. PROD/2736291,degradation
PUL0622,33113351,RNA-seq,JABKKE010000021.1,-,xylan,HPS55_11495-HPS55_11570,Prevotella sp. PROD/2736291,degradation
PUL0623,33113351,RNA-seq,JABKKF010000001.1,-,pectin,HPS56_01020-HPS56_01090,Prevotella sp. PMUR/2736291,degradation
PUL0624,33113351,RNA-seq,JABKKF010000001.1,-,xylan,HPS56_01555-HPS56_01605,Prevotella sp. PMUR/2736291,degradation
PUL0625,33113351,RNA-seq,JABKKF010000013.1,-,xylan,HPS56_11565-HPS56_11655,Prevotella sp. PMUR/2736291,degradation
PUL0626,33119797,high-performance anion-exchange chromatography,JAATOH010000049.1,-,arabinan,HCN73_09280-HCN73_09400,Lactobacillus crispatus DSM29598/47770,degradation
PUL0627,-,-,-,-,-,-,-,-
PUL0628,-,-,-,-,-,-,-,-
PUL0629,-,-,-,-,-,-,-,-
PUL0630,33187992,"enzyme activity assay,affinity gel electrophoresis",HF548280.1,-,xylan,BN138_221-BN138_229,termite gut metagenome/433724,degradation
PUL0631,33310406,"growth assay,sequence homology analysis",NZ_CP060437.1,-,alginate,PSAL_RS18385-PSAL_RS18420,Pseudooceanicola algae Lw-13e/1537215,degradation
PUL0632,33439065,recombinant protein expression,NZ_ACFY01000156.1,-,fructan,ROSEINA2194_RS16655-ROSEINA2194_RS16680,Roseburia inulinivorans DSM 16841/360807,degradation
PUL0633,33439065,recombinant protein expression,NZ_CVRR01000009.1,-,fructan,M72_RS04730-M72_RS04755,Roseburia faecis M72/301302,degradation
PUL0634,33439065,recombinant protein expression,NC_012781.1,-,fructan,EUBREC_RS01145-EUBREC_RS01170,Eubacterium rectale ATCC 33656 /39491,degradation
PUL0635,33439065,recombinant protein expression,NZ_BLYL01000002.1,-,fructan,JMF79_RS02630-JMF79_RS02655,Coprococcus eutactus JCM 31265/33043,degradation
