dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH89_e5	GH89:72	-	-	660	KFX45_RS00265	724	0	2	659	66	716	0.9954545454545455	0.9954545454545455
GH3_e6	GH3:76|GH89:3|CBM32:1	-	-	221	KFX45_RS00270	861	2.2e-108	1	221	109	329	0.995475113122172	0.995475113122172
CBM32_e18	CBM32:14	-	host glycan	112	KFX45_RS06140	858	9.8e-52	2	112	140	251	0.9821428571428571	0.9821428571428571
GT4_e1861	GT4:6	-	-	158	KFX45_RS10410	409	1.2e-73	2	158	216	373	0.9873417721518988	0.9873417721518988
GT4_e1043	GT4:18	-	-	161	KFX45_RS17925	418	2.3e-65	1	158	230	386	0.9751552795031055	0.9751552795031055
GT4_e779	GT4:21	-	-	147	KFX45_RS17935	397	5.3e-51	4	144	221	361	0.9523809523809523	0.9523809523809523
GT4_e1825	GT4:9	-	-	153	KFX45_RS17940	367	5.7e-65	3	153	186	336	0.9803921568627451	0.9803921568627451
GT4_e887	GT4:26	-	-	150	KFX45_RS17955	403	2.5e-56	1	147	220	367	0.9733333333333334	0.9733333333333334
GT4_e887	GT4:26	-	-	150	KFX60_RS20855	418	1e-56	1	149	236	384	0.9866666666666667	0.9866666666666667
GT4_e2551	GT4:14	-	-	133	KFX60_RS20865	382	7.8e-35	1	131	209	346	0.9774436090225563	0.9774436090225563
GT4_e1250	GT4:26	-	-	150	KFX60_RS20875	361	2.3e-41	3	146	179	326	0.9533333333333334	0.9533333333333334
GT4_e2349	GT4:51	-	-	133	KFX60_RS23205	411	3e-22	6	132	247	375	0.9473684210526315	0.9473684210526315
GH97_e24	GH97:162	-	-	600	KFX61_RS18665	650	2.2e-247	4	599	28	630	0.9916666666666667	0.9916666666666667
GH73_e10	GH73:59|CBM50:1	-	-	126	KFX73_RS04095	205	5.8e-22	2	124	107	202	0.9682539682539683	0.9682539682539683
GH2_e49	GH2:81|CE4:1	-	-	572	KFX78_RS01570	782	2.8e-266	3	570	25	592	0.9912587412587412	0.9912587412587412
GH73_e10	GH73:59|CBM50:1	-	-	126	KFX78_RS02865	207	1.3e-26	2	125	100	204	0.9761904761904762	0.9761904761904762
GH24_e203	GH24:151	-	-	126	KFX78_RS19820	156	1.4e-69	1	126	24	149	0.9920634920634921	0.9920634920634921
GH167_e3	GH167:23	-	-	726	KFX78_RS24060	745	0	1	726	13	743	0.9986225895316805	0.9986225895316805
GH167_e3	GH167:23	-	-	726	KFX78_RS27015	776	0	1	726	53	773	0.9986225895316805	0.9986225895316805
GT25_e69	GT25:13|GH16:1	-	-	175	KFX78_RS28535	245	9.8e-71	1	175	5	176	0.9942857142857143	0.9942857142857143
GT2	GT2:11	-	-	130	KFX78_RS28950	66	6.7e-21	1	53	11	63	0.4	0.4
CBM32_e44	CBM32:17	-	host glycan	131	KFX89_RS03470	469	9.3e-25	2	130	337	464	0.9770992366412213	0.9770992366412213
GH95_e1	GH95:1763|CBM13:26|CBM2:14|CE6:11|CBM6:7|CBM32:5|CE8:2|GH29:1|CE12:1|CBM5:1|GH1:1	3.2.1.-:3|3.2.1.63:2	pectin, xylan, xyloglucan, host glycan	743	KFX89_RS05970	803	1.2e-286	3	737	22	791	0.9878869448183042	0.9878869448183042
GH43_e194	GH43_9:661|GH28:6|GH43:2|GH43_8:1	3.2.1.55:2	xylan	271	KFX89_RS07620	815	3.4e-121	2	271	26	289	0.992619926199262	0.992619926199262
CBM91_e36	CBM91:62|GH43_9:59|GH43_19:31|GH43:3|GH43_34:2	-	xylan	176	KFX89_RS07620	815	1.6e-65	1	175	311	485	0.9886363636363636	0.9886363636363636
GH43_e186	GH43_19:87|GH43_9:78|GH43_34:6|GH97:3|GH43:3|GH43_18:1	-	-	231	KFX89_RS07620	815	4.6e-94	1	231	538	793	0.9956709956709957	0.9956709956709957
GT2	GT2:60	-	-	266	KFX89_RS07795	330	5.3e-134	1	264	5	269	0.9887218045112782	0.9887218045112782
CBM32_e75	CBM32:9	-	host glycan	130	KFX89_RS11665	392	4.5e-70	1	130	256	385	0.9923076923076923	0.9923076923076923
GH24_e168	GH24:108	-	-	121	KFX89_RS14765	172	2.6e-62	2	121	41	165	0.9834710743801653	0.9834710743801653
GH78_e1	GH78:419	3.2.1.40:3	alpha-rhamnoside	476	KGH28_RS11705	733	6.9e-236	2	476	196	684	0.9957983193277311	0.9957983193277311
GT4_e3970	GT4:8	-	-	154	KGH28_RS12660	148	3.2e-52	39	153	1	115	0.7402597402597403	0.7402597402597403
GT1_e173	GT1:19	-	-	319	KGH32_RS05510	420	3.9e-180	1	318	92	409	0.9937304075235109	0.9937304075235109
GH16_e21	GH16:12|GH16_3:5	3.2.1.-:2	host glycan	232	KGH32_RS13320	287	3.4e-161	1	232	42	273	0.9956896551724138	0.9956896551724138
GT2	GT2:5	-	-	108	KGH32_RS13495	262	1.2e-52	1	108	9	116	0.9907407407407407	0.9907407407407407
GT4_e2495	GT4:132	-	-	146	KGH32_RS19205	358	3.2e-49	2	145	184	328	0.9794520547945206	0.9794520547945206
GT32_e169	GT32:19	-	-	78	KGH32_RS19210	258	1e-42	1	78	21	98	0.9871794871794872	0.9871794871794872
GT2	GT2:24	-	-	173	KGH32_RS19220	329	3.1e-55	1	172	7	179	0.9884393063583815	0.9884393063583815
GT2	GT2:6	-	-	153	KGH32_RS19225	340	5.9e-60	1	144	5	157	0.934640522875817	0.934640522875817
GT4_e1826	GT4:7	-	-	149	KGH32_RS19235	378	6.7e-46	3	146	207	350	0.959731543624161	0.959731543624161
GT2	GT2:26	-	-	128	KGH32_RS19245	329	4.8e-49	1	117	6	122	0.90625	0.90625
CBM67_e27	CBM67:9|GH78:9	-	rhamnose	168	KHO73_RS25645	1337	2.4e-52	6	163	211	369	0.9345238095238095	0.9345238095238095
GH78_e2	GH78:144|GH33:56|CBM67:6	3.2.1.40:1|3.2.1.-:1	alpha-rhamnoside	517	KHO73_RS25645	1337	7.7e-252	4	517	403	933	0.9922630560928434	0.9922630560928434
GH33_e82	GH33:118|GH78:56	3.2.1.40:1|3.2.1.-:1	pectin	297	KHO73_RS25645	1337	2e-143	1	297	968	1319	0.9966329966329966	0.9966329966329966
GT4_e3970	GT4:8	-	-	154	KQP59_RS00470	401	8.5e-72	2	154	217	369	0.987012987012987	0.987012987012987
GT4_e3009	GT4:5	-	-	141	KQP59_RS00490	347	1.9e-73	1	140	175	314	0.9858156028368794	0.9858156028368794
GT2	GT2:8	-	-	144	KQP59_RS00500	330	1e-54	1	123	7	128	0.8472222222222222	0.8472222222222222
GH20_e8	GH20:34	-	-	335	KQP59_RS01370	520	1.8e-204	1	335	144	478	0.9970149253731343	0.9970149253731343
GH29_e30	GH29:1257|CBM32:104|CBM0:3|GH33:3|CBM6:1|CBM9:1|CE3:1|GH136:1|GH0:1|CBM47:1|GT1:1	3.2.1.111:8|3.2.1.51:3	host glycan, host glycan	301	KQP59_RS01390	606	2.9e-145	2	298	53	369	0.9833887043189369	0.9833887043189369
CBM32_e126	CBM32:138|GH29:132|CBM6:1|CBM9:1|CE3:1|GH136:1	-	host glycan	109	KQP59_RS01390	606	5.9e-18	20	107	499	586	0.7981651376146789	0.7981651376146789
GH2_e30	GH2:674|CBM51:7|CBM67:1	-	-	866	KQP59_RS01395	1024	0	5	866	63	909	0.9942263279445728	0.9942263279445728
GH20_e135	GH20:148|CBM0:1	-	-	355	KQP59_RS01400	777	7.7e-173	1	354	159	517	0.9943661971830986	0.9943661971830986
GH18_e389	GH18:18	-	-	237	KQP59_RS01425	555	1.6e-132	1	236	298	534	0.9915611814345991	0.9915611814345991
GH18_e118	GH18:60|GH78:2	-	-	297	KQP59_RS01480	430	2.6e-97	3	296	124	419	0.9865319865319865	0.9865319865319865
GH20_e12	GH20:1706|CBM32:19|CBM0:2	3.2.1.52:18|3.2.1.-:1	host glycan, host glycan	351	KQP59_RS01485	773	1.6e-153	2	349	152	513	0.9886039886039886	0.9886039886039886
GH89_e5	GH89:72	-	-	660	KQP59_RS01490	728	0	1	660	62	721	0.9984848484848485	0.9984848484848485
GH3_e6	GH3:76|GH89:3|CBM32:1	-	-	221	KQP59_RS01495	861	2.9e-108	1	221	108	328	0.995475113122172	0.995475113122172
GH97_e5	GH97:103	3.2.1.22:1	alpha-glucan	633	KQP59_RS01505	644	1.1e-297	5	633	17	643	0.9921011058451816	0.9921011058451816
GH20_e16	GH20:35	-	-	341	KQP59_RS01510	528	1.9e-197	1	341	153	493	0.9970674486803519	0.9970674486803519
GH3_e6	GH3:76|GH89:3|CBM32:1	-	-	221	KQP59_RS01530	860	3.3e-109	1	221	110	330	0.995475113122172	0.995475113122172
CBM48_e14	CBM48:1142|GH13_14:1124|CBM41:557|GH13_32:70|CBM25:49|GH13_41:25|GH13:12|CBM20:10|CBM68:8|GH13_42:1|CBM0:1	3.2.1.41:14|3.2.1.1:4|3.2.1.68:2|3.2.1.-:2	glycogen	92	KQP59_RS01770	669	1.9e-19	12	89	45	126	0.8369565217391305	0.8369565217391305
GH13_e95	GH13_14:318|CBM48:209|CBM41:64|CBM68:5|GH13:2|GH133:1	3.2.1.-:2|3.2.1.68:1|3.2.1.41:1	sucrose, starch, starch, starch	310	KQP59_RS01770	669	6.8e-141	1	310	203	527	0.9967741935483871	0.9967741935483871
PL33_e0	PL33_1:103	4.2.2.1:1	host glycan	147	KQP59_RS02340	645	4.7e-72	1	145	431	575	0.9795918367346939	0.9795918367346939
GH18_e214	GH18:13	-	-	114	KQP59_RS02360	386	4.9e-72	1	114	176	289	0.9912280701754386	0.9912280701754386
GH84_e9	GH84:335|CBM32:3	3.2.1.169:1	host glycan	294	KQP59_RS02415	738	9.4e-155	1	293	152	443	0.9931972789115646	0.9931972789115646
GH20_e12	GH20:1706|CBM32:19|CBM0:2	3.2.1.52:18|3.2.1.-:1	host glycan, host glycan	351	KQP59_RS02420	547	6.4e-133	2	349	154	514	0.9886039886039886	0.9886039886039886
GT35_e7	GT35:1062|GT3:53	2.4.1.1:9	-	531	KQP59_RS02440	853	1.8e-227	1	530	126	655	0.9962335216572504	0.9962335216572504
GT4_e1713	GT4:11	-	-	150	KQP59_RS02910	366	6.7e-55	1	150	187	336	0.9933333333333333	0.9933333333333333
GT2	GT2:12	-	-	172	KQP59_RS02925	299	5.3e-27	2	170	6	166	0.9767441860465116	0.9767441860465116
GT2	GT2:11	-	-	164	KQP59_RS02930	313	2e-61	1	152	7	156	0.9207317073170732	0.9207317073170732
GT4_e2625	GT4:6	-	-	151	KQP59_RS02945	367	5e-39	3	150	184	332	0.9735099337748344	0.9735099337748344
GT4_e1235	GT4:27	-	-	152	KQP59_RS03000	377	7.6e-16	4	107	195	313	0.6776315789473685	0.6776315789473685
GT101_e12	GT101:67|GT2:1	-	-	224	KQP59_RS03005	304	1.4e-101	1	224	58	281	0.9955357142857143	0.9955357142857143
GT4_e1077	GT4:6	-	-	152	KQP59_RS03010	386	1.7e-72	4	152	206	354	0.9736842105263158	0.9736842105263158
GT4_e1077	GT4:6	-	-	152	KQP59_RS03015	388	1.8e-74	2	152	207	357	0.9868421052631579	0.9868421052631579
GT2	GT2:10	-	-	122	KQP59_RS03020	284	1.9e-68	1	122	43	164	0.9918032786885246	0.9918032786885246
GH33_e121	GH33:131	3.2.1.18:6	sialic acid	336	KQP59_RS03235	545	9.9e-186	1	336	195	531	0.9970238095238095	0.9970238095238095
GH20_e112	GH20:103	3.2.1.52:1	host glycan	272	KQP59_RS03240	671	1.1e-156	1	272	142	413	0.9963235294117647	0.9963235294117647
CE20_e16	CE20:217|CE0:1|GH33:1|CE3:1	-	-	283	KQP59_RS03245	692	1.5e-133	1	283	301	581	0.9964664310954063	0.9964664310954063
GH2_e137	GH2:343|CBM32:1|CBM67:1	3.2.1.23:2	beta-galactan	607	KQP59_RS03265	840	0	2	607	25	632	0.9967051070840197	0.9967051070840197
GT2	GT2:11	-	-	186	KQP59_RS03310	279	3e-66	1	186	8	195	0.9946236559139785	0.9946236559139785
GT2	GT2:37|GT101:8	2.4.1.-:1	-	163	KQP59_RS03315	338	3.6e-40	4	144	2	145	0.8588957055214724	0.8588957055214724
GT4_e647	GT4:7	-	-	144	KQP59_RS03340	377	9.6e-56	1	141	192	332	0.9722222222222222	0.9722222222222222
GT26_e4	GT26:57	-	-	165	KQP59_RS03820	233	4.4e-88	1	165	54	218	0.9939393939393939	0.9939393939393939
GT4_e4050	GT4:9	-	-	147	KQP59_RS03835	349	2.7e-57	3	146	173	316	0.9727891156462585	0.9727891156462585
GT4_e3420	GT4:16	-	-	149	KQP59_RS03845	393	1.1e-16	2	136	213	345	0.8993288590604027	0.8993288590604027
GT2	GT2:19	-	-	163	KQP59_RS03935	279	7.1e-49	1	161	8	168	0.9815950920245399	0.9815950920245399
GT2	GT2:8|GT4:1	-	-	141	KQP59_RS03975	329	7.7e-60	1	128	8	135	0.900709219858156	0.900709219858156
GH32_e16	GH32:1098|CBM66:301|CBM38:114	3.2.1.80:10|3.2.1.65:10|3.2.1.26:7|3.2.1.153:5|3.2.1.64:3|2.4.1.99:3	fructan, fructan, fructan, fructan, fructan, fructan	316	KQP59_RS04190	611	1.2e-144	3	313	150	452	0.9810126582278481	0.9810126582278481
GH32_e129	GH32:35	3.2.1.65:1	fructan	300	KQP59_RS04195	523	1.3e-173	1	300	53	350	0.9966666666666667	0.9966666666666667
GH2_e119	GH2:25	-	-	560	KQP59_RS04235	1084	0	1	560	50	611	0.9982142857142857	0.9982142857142857
GH23_e63	GH23:115	-	-	135	KQP59_RS04440	327	6.6e-69	1	134	99	232	0.9851851851851852	0.9851851851851852
CE20_e10	CE20:99	-	-	256	KQP59_RS04750	478	2.7e-119	1	256	108	368	0.99609375	0.99609375
GH106_e44	GH106:112|GH137:2|GH29:1	3.2.1.40:1	pectin	763	KQP59_RS04755	1106	0	3	761	365	1098	0.9934469200524246	0.9934469200524246
GH2_e106	GH2:268|CBM32:3	3.2.1.-:1|3.2.1.23:1	pectin, beta-galactan	760	KQP59_RS04850	951	0	1	760	41	831	0.9986842105263158	0.9986842105263158
GH95_e1	GH95:1763|CBM13:26|CBM2:14|CE6:11|CBM6:7|CBM32:5|CE8:2|GH29:1|CE12:1|CBM5:1|GH1:1	3.2.1.-:3|3.2.1.63:2	pectin, xylan, xyloglucan, host glycan	743	KQP59_RS04940	823	0	2	730	28	760	0.9798115746971736	0.9798115746971736
GH105_e2	GH105:48	3.2.1.-:1	ulvan	346	KQP59_RS04945	401	6.4e-186	1	346	51	397	0.9971098265895953	0.9971098265895953
CE19_e0	CE19:46|GH28:1	3.1.1.11:1	pectin	328	KQP59_RS04970	654	3.4e-190	2	328	120	446	0.9939024390243902	0.9939024390243902
GH28_e10	GH28:407|CE8:1|CE19:1|GH43_18:1	3.2.1.67:1	pectin	343	KQP59_RS04975	446	1.5e-141	3	341	53	420	0.9854227405247813	0.9854227405247813
CBM67_e27	CBM67:9|GH78:9	-	rhamnose	168	KQP59_RS04980	954	1.5e-69	16	167	200	351	0.8988095238095238	0.8988095238095238
GH78_e43	GH78:163|CBM67:8|GH137:1	3.2.1.40:1	alpha-rhamnoside	515	KQP59_RS04980	954	1e-226	3	515	398	934	0.9941747572815534	0.9941747572815534
GH143_e0	GH142:47|GH143:47	3.2.1.185:1|3.2.1.-:1	pectin	546	KQP59_RS04985	1110	0	2	546	26	571	0.9963369963369964	0.9963369963369964
GH142_e0	GH142:115|GH143:47	3.2.1.185:1|3.2.1.-:1	pectin	471	KQP59_RS04985	1110	2e-239	1	470	634	1100	0.9957537154989384	0.9957537154989384
GH43_e173	GH43_18:113|GH29:4|CBM42:1|GH43_20:1|GH28:1|PL1_2:1	3.2.1.55:2	xylan	227	KQP59_RS04990	310	1.9e-121	1	227	67	293	0.9955947136563876	0.9955947136563876
GT2	GT2:21	-	-	221	KQP59_RS05030	396	5.7e-115	1	221	44	264	0.995475113122172	0.995475113122172
GT2	GT2:13	-	-	175	KQP59_RS05035	300	2e-97	1	175	9	183	0.9942857142857143	0.9942857142857143
GH20_e12	GH20:1706|CBM32:19|CBM0:2	3.2.1.52:18|3.2.1.-:1	host glycan, host glycan	351	KQP59_RS05395	774	1.8e-172	2	348	152	508	0.9857549857549858	0.9857549857549858
GH18_e37	GH18:97	-	-	235	KQP59_RS05410	376	3.7e-94	1	235	60	334	0.9957446808510638	0.9957446808510638
GH18_e203	GH18:19	3.2.1.96:1	host glycan	184	KQP59_RS05430	365	4.8e-114	1	184	165	348	0.9945652173913043	0.9945652173913043
GH18_e37	GH18:97	-	-	235	KQP59_RS05460	374	3.4e-97	1	234	64	331	0.9914893617021276	0.9914893617021276
GH130_e13	GH130:541	2.4.1.319:4|2.4.1.320:2	beta-mannan, beta-mannan	300	KQP59_RS05485	323	3.5e-151	1	299	20	317	0.9933333333333333	0.9933333333333333
GH92_e13	GH92:281	3.2.1.24:1	host glycan	487	KQP59_RS05490	757	5.9e-252	1	486	270	755	0.9958932238193019	0.9958932238193019
GH2_e5	GH2:23	-	-	770	KQP59_RS05545	1232	0	1	770	236	1009	0.9987012987012988	0.9987012987012988
GH3_e0	GH3:1894|GH67:1|CBM6:1|CBM32:1	3.2.1.37:92|3.2.1.55:39|3.2.1.21:1|3.2.1.6:1|3.2.1.73:1	xylan, arabinan, beta-glucan, beta-glucan	251	KQP59_RS05555	854	7.8e-104	4	247	63	309	0.9681274900398407	0.9681274900398407
CE20_e1	CE20:285	-	-	245	KQP59_RS05560	573	2.9e-86	1	245	106	448	0.9959183673469387	0.9959183673469387
GH3_e88	GH3:482	3.2.1.37:15|3.2.1.55:3|3.2.1.21:1	xylan, arabinan, beta-glucan	228	KQP59_RS05565	955	1.5e-71	4	224	209	426	0.9649122807017544	0.9649122807017544
GH29_e63	GH29:296|CBM13:1	3.2.1.63:1|3.2.1.51:1	host glycan, host glycan	336	KQP59_RS05855	439	1.8e-172	2	336	24	356	0.9940476190476191	0.9940476190476191
GH2_e98	GH2:93|CBM32:77	-	-	676	KQP59_RS06060	978	0	1	675	37	712	0.9970414201183432	0.9970414201183432
CBM32_e133	CBM32:79|GH2:75|GH20:1	-	host glycan	112	KQP59_RS06060	978	6.2e-42	3	112	728	837	0.9732142857142857	0.9732142857142857
GH3_e57	GH3:182	3.2.1.-:1	beta-glucan	226	KQP59_RS06095	1002	1.4e-111	2	226	110	332	0.9911504424778761	0.9911504424778761
GT51_e93	GT51:245	-	-	151	KQP59_RS06200	650	9.9e-72	2	151	436	585	0.9867549668874173	0.9867549668874173
CBM67_e28	CBM67:192|GH78:190|CBM0:1|CBM66:1	3.2.1.40:1	rhamnose	186	KQP59_RS06295	1153	3e-49	17	176	345	514	0.8548387096774194	0.8548387096774194
GH78_e80	GH78:1278|CBM67:96|GH3:3|GH0:2|GH18:2|CBM0:1	3.2.1.40:8|3.1.1.73:2	alpha-rhamnoside	510	KQP59_RS06295	1153	2.7e-188	5	508	570	1103	0.9862745098039216	0.9862745098039216
CBM67_e3	CBM67:11|GH78:11	-	rhamnose	180	KQP59_RS06300	882	6.3e-92	2	177	146	321	0.9722222222222222	0.9722222222222222
GH78_e29	GH78:133|CBM67:9	-	-	510	KQP59_RS06300	882	2.2e-277	1	510	348	857	0.9980392156862745	0.9980392156862745
CE7_e20	CE7:59	-	-	304	KQP59_RS06305	435	9.1e-183	1	304	127	430	0.9967105263157895	0.9967105263157895
GH16_e321	GH16_3:114|GH16:2|CBM16:1	3.2.1.-:1	host glycan	227	KQP59_RS06420	269	1.2e-116	1	227	37	263	0.9955947136563876	0.9955947136563876
GH92_e30	GH92:201	3.2.1.-:2	host glycan	521	KQP59_RS06660	756	5.6e-270	9	521	222	736	0.982725527831094	0.982725527831094
GH99_e0	GH99:120	3.2.1.130:19|3.2.1.198:2	host glycan, alpha-mannan	339	KQP59_RS06680	383	7.2e-143	3	338	45	371	0.9882005899705014	0.9882005899705014
GH20_e106	GH20:152|CBM32:18	-	-	325	KQP59_RS06700	662	2.5e-176	1	324	155	478	0.9938461538461538	0.9938461538461538
CBM50_e27	CBM50:203|GH23:1	-	chitin, peptidoglycan	43	KQP59_RS06985	291	1e-20	1	42	248	289	0.9534883720930233	0.9534883720930233
GH29_e74	GH29:65|CBM32:3	-	-	298	KQP59_RS07130	464	8.3e-169	2	297	24	319	0.9899328859060402	0.9899328859060402
CBM32_e191	CBM32:5|GH29:5	-	host glycan	102	KQP59_RS07130	464	7.2e-25	3	101	346	447	0.9607843137254902	0.9607843137254902
CBM32_e210	CBM32:14	-	host glycan	122	KQP59_RS07150	514	1.4e-33	12	120	88	196	0.8852459016393442	0.8852459016393442
GH92_e18	GH92:769	3.2.1.113:6|3.2.1.-:1	host glycan, host glycan	509	KQP59_RS07160	762	2.3e-275	1	509	235	742	0.9980353634577603	0.9980353634577603
GH92_e0	GH92:2578|GH43_34:10|GH88:7|GH20:2|GH125:2|CBM32:1|CBM6:1|CBM57:1	3.2.1.-:8|3.2.1.113:1|3.2.1.114:1|3.2.1.24:1	host glycan, host glycan, host glycan	494	KQP59_RS07165	780	1e-209	2	494	267	760	0.9959514170040485	0.9959514170040485
GH92_e0	GH92:2578|GH43_34:10|GH88:7|GH20:2|GH125:2|CBM32:1|CBM6:1|CBM57:1	3.2.1.-:8|3.2.1.113:1|3.2.1.114:1|3.2.1.24:1	host glycan, host glycan, host glycan	494	KQP59_RS07175	780	1.5e-201	3	494	255	750	0.9939271255060729	0.9939271255060729
GT2	GT2:29	-	-	277	KQP59_RS07510	391	1.5e-98	1	272	58	331	0.9783393501805054	0.9783393501805054
GH89_e7	GH89:90	-	-	658	KQP59_RS08175	737	0	2	657	67	729	0.9954407294832827	0.9954407294832827
GH20_e12	GH20:1706|CBM32:19|CBM0:2	3.2.1.52:18|3.2.1.-:1	host glycan, host glycan	351	KQP59_RS08280	810	6.8e-161	2	348	158	525	0.9857549857549858	0.9857549857549858
GT4_e602	GT4:97	-	-	147	KQP59_RS08450	425	1.5e-73	2	145	244	387	0.9727891156462585	0.9727891156462585
GH133_e1	GH133:236	-	-	351	KQP59_RS08455	646	1.2e-167	2	351	289	637	0.9943019943019943	0.9943019943019943
CBM32_e18	CBM32:14	-	host glycan	112	KQP59_RS08550	997	3.9e-31	2	112	244	353	0.9821428571428571	0.9821428571428571
CBM32_e10	CBM32:23	-	host glycan	127	KQP59_RS09050	441	5.6e-79	1	127	307	433	0.9921259842519685	0.9921259842519685
GH13_e113	GH13_38:338|GH13:1	3.2.1.20:2	sucrose, starch	375	KQP59_RS09465	566	4.5e-179	1	375	34	400	0.9973333333333333	0.9973333333333333
GH43_e22	GH43_29:182|GH43_19:31|GH43_34:4|GH51:3|GH43_31:1|GH43:1|GH43_33:1	3.2.1.-:2|3.2.1.55:1	xylan, xylan	276	KQP59_RS09510	322	1.1e-143	1	276	33	311	0.9963768115942029	0.9963768115942029
GH51_e47	GH51:642|GH43_34:9|CE6:3|GH43_18:3|GH43_22:3|GH43_4:3|GH43:2|GH43_29:2|CBM5:1|CBM66:1|GH0:1|CBM84:1|CBM0:1	3.2.1.55:5	arabinan	468	KQP59_RS09515	661	3.5e-198	3	467	187	659	0.9914529914529915	0.9914529914529915
GH43_e326	GH43_4:43	3.2.1.-:1|3.2.1.99:1	xylan, arabinan	313	KQP59_RS09520	514	7.6e-195	1	313	61	373	0.9968051118210862	0.9968051118210862
GH43_e183	GH43_4:57	3.2.1.99:2	arabinan	363	KQP59_RS09555	642	1.7e-190	1	363	162	530	0.9972451790633609	0.9972451790633609
GH146_e0	GH146:409|GH97:3|GH43_19:1|GH43_34:1|CBM13:1	3.2.1.185:1	arabinan	511	KQP59_RS09590	803	5.1e-246	1	510	33	560	0.9960861056751468	0.9960861056751468
GH51_e19	GH51:1621	3.2.1.55:27	arabinan	489	KQP59_RS09595	515	3.9e-236	2	489	26	514	0.9959100204498977	0.9959100204498977
GH31_e16	GH31:50	3.2.1.20:1	starch	433	KQP59_RS09630	749	1.1e-255	1	433	284	716	0.9976905311778291	0.9976905311778291
GH141_e0	GH141:40	-	-	559	KQP59_RS09635	617	0	1	559	25	583	0.998211091234347	0.998211091234347
GH109_e7	GH109:31	-	-	390	KQP59_RS09715	329	7.4e-17	18	181	24	185	0.41794871794871796	0.41794871794871796
GH25_e217	GH25:153	-	-	177	KQP59_RS09770	298	1e-81	1	177	101	276	0.9943502824858758	0.9943502824858758
GH35_e43	GH35:828|CBM32:242|GH43_24:11	3.2.1.23:3	pectin	314	KQP59_RS09855	780	1.9e-151	1	312	36	346	0.9904458598726115	0.9904458598726115
CBM32_e42	CBM32:247|GH35:243|GH43_24:9	-	host glycan	74	KQP59_RS09855	780	1.3e-31	2	72	701	774	0.9459459459459459	0.9459459459459459
GH43_e146	GH43_24:9	3.2.1.145:1	arabinogalactan protein	246	KQP59_RS09990	494	1.4e-163	1	246	46	291	0.9959349593495935	0.9959349593495935
GH43_e42	GH43_24:8	-	-	178	KQP59_RS09995	583	1.2e-121	1	178	204	381	0.9943820224719101	0.9943820224719101
CBM32_e51	CBM32:13|GH43_24:13	-	host glycan	129	KQP59_RS09995	583	2.6e-27	14	128	460	575	0.8837209302325582	0.8837209302325582
GH73_e221	GH73:75	-	-	133	KQP59_RS10645	505	8.1e-79	2	133	14	145	0.9849624060150376	0.9849624060150376
GH73_e88	GH73:188|CBM50:180	-	-	129	KQP59_RS10925	302	3.3e-63	2	129	41	168	0.9844961240310077	0.9844961240310077
CBM50_e698	CBM50:301|GH73:300	-	chitin, peptidoglycan	40	KQP59_RS10925	302	3.8e-16	2	40	205	243	0.95	0.95
CBM50_e698	CBM50:301|GH73:300	-	chitin, peptidoglycan	40	KQP59_RS10925	302	1.3e-16	1	40	260	299	0.975	0.975
GH115_e6	GH115:205|GH159:1	-	-	764	KQP59_RS10955	864	9.1e-292	1	763	39	842	0.9973821989528796	0.9973821989528796
GH2_e106	GH2:268|CBM32:3	3.2.1.-:1|3.2.1.23:1	pectin, beta-galactan	760	KQP59_RS10960	942	0	1	760	38	807	0.9986842105263158	0.9986842105263158
GT4_e994	GT4:22|CE4:1	-	-	150	KQP59_RS11295	400	6.1e-47	2	149	211	355	0.98	0.98
GT4_e440	GT4:17	-	-	150	KQP59_RS11305	409	3.3e-72	2	150	222	370	0.9866666666666667	0.9866666666666667
GT4_e1535	GT4:69	-	-	146	KQP59_RS11340	422	3.2e-65	2	145	241	384	0.9794520547945206	0.9794520547945206
GT2	GT2:27|GT4:1	-	-	130	KQP59_RS11345	252	3.9e-68	1	129	12	140	0.9846153846153847	0.9846153846153847
GH43_e205	GH43_24:47	-	-	237	KQP59_RS11355	461	1.3e-131	1	237	49	286	0.9957805907172996	0.9957805907172996
PL8_e42	PL8_3:29	-	-	251	KQP59_RS11400	720	3.5e-128	1	251	346	597	0.9960159362549801	0.9960159362549801
GH2_e108	GH2:150|CBM32:1|GH29:1	-	-	605	KQP59_RS11425	703	0	2	605	21	622	0.996694214876033	0.996694214876033
GH29_e8	GH29:139|CBM32:1|GH2:1	3.2.1.51:2	host glycan	337	KQP59_RS11430	477	2.3e-176	2	337	39	376	0.9940652818991098	0.9940652818991098
GH3_e0	GH3:1894|GH67:1|CBM6:1|CBM32:1	3.2.1.37:92|3.2.1.55:39|3.2.1.21:1|3.2.1.6:1|3.2.1.73:1	xylan, arabinan, beta-glucan, beta-glucan	251	KQP59_RS11510	864	6.4e-110	4	245	58	306	0.9601593625498008	0.9601593625498008
CBM32_e96	CBM32:25	-	host glycan	125	KQP59_RS11540	969	4.9e-55	1	125	238	363	0.992	0.992
GH154_e2	GH154:70|GH105:20|GH16_3:1	-	-	361	KQP59_RS11570	416	3.5e-199	1	360	31	393	0.9944598337950139	0.9944598337950139
